"rank","repo","url","stars","forks","value_score","risk_score","grade","source","live_verified","note"
"1","openclaw/openclaw","https://github.com/openclaw/openclaw","233479","44886","100","20","S-priority","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"2","zhayujie/chatgpt-on-wechat","https://github.com/zhayujie/chatgpt-on-wechat","41542","9765","87","28","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"3","VoltAgent/awesome-openclaw-skills","https://github.com/VoltAgent/awesome-openclaw-skills","21059","2105","82","20","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"4","HKUDS/nanobot","https://github.com/HKUDS/nanobot","25862","4091","79","40","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"5","CherryHQ/cherry-studio","https://github.com/CherryHQ/cherry-studio","40279","3714","78","28","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"6","qwibitai/nanoclaw","https://github.com/qwibitai/nanoclaw","15383","2396","78","28","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"7","hesamsheikh/awesome-openclaw-usecases","https://github.com/hesamsheikh/awesome-openclaw-usecases","9877","745","78","20","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"8","openclaw/clawhub","https://github.com/openclaw/clawhub","3020","629","78","20","A-recommended","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"9","iOfficeAI/AionUi","https://github.com/iOfficeAI/AionUi","17179","1306","77","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"10","langbot-app/LangBot","https://github.com/langbot-app/LangBot","15381","1317","77","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"11","OthmanAdi/planning-with-files","https://github.com/OthmanAdi/planning-with-files","14667","1355","77","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"12","1Panel-dev/1Panel","https://github.com/1Panel-dev/1Panel","33677","2982","76","32","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"13","cloudflare/moltworker","https://github.com/cloudflare/moltworker","9245","1673","76","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"14","kepano/obsidian-skills","https://github.com/kepano/obsidian-skills","11236","604","75","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"15","mcp-use/mcp-use","https://github.com/mcp-use/mcp-use","9289","1146","75","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"16","openclaw/skills","https://github.com/openclaw/skills","1550","523","75","20","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"17","AstrBotDevs/AstrBot","https://github.com/AstrBotDevs/AstrBot","18109","1373","74","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"18","HKUDS/ClawWork","https://github.com/HKUDS/ClawWork","5652","688","74","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"19","MemTensor/MemOS","https://github.com/MemTensor/MemOS","5913","539","73","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
"20","AlexsJones/llmfit","https://github.com/AlexsJones/llmfit","5734","329","73","28","B-usable","offline_scored","no","See openclaw_deepdive_top8_live for live verification"
