"full_name","url","stars","forks","updated_at","language","license","category","relevance_tier","description"
"openclaw/openclaw","https://github.com/openclaw/openclaw","233479","44886","2026-02-27T03:07:48Z","TypeScript","MIT","official","A-official","Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 "
"zhayujie/chatgpt-on-wechat","https://github.com/zhayujie/chatgpt-on-wechat","41542","9765","2026-02-27T03:05:28Z","Python","MIT","plugins-skills","B-medium","CowAgent是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、拥有长期记忆并不断成长。同时支持飞书、钉钉、企业微信应用、微信公众号、网页等接入，可选择OpenAI/Claude/Gemini/DeepSeek/ Qwen/GLM/Kimi/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助手和企业数字员工。"
"CherryHQ/cherry-studio","https://github.com/CherryHQ/cherry-studio","40279","3714","2026-02-27T02:56:53Z","TypeScript","AGPL-3.0","plugins-skills","B-medium","AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs"
"1Panel-dev/1Panel","https://github.com/1Panel-dev/1Panel","33677","2982","2026-02-27T02:53:04Z","Go","GPL-3.0","panel-ui","B-medium","🔥 Take full control of your VPS with 1Panel. Deploy OpenClaw and websites in one click."
"HKUDS/nanobot","https://github.com/HKUDS/nanobot","25862","4091","2026-02-27T03:07:42Z","Python","MIT","alternatives-forks","B-medium","""🐈 nanobot: The Ultra-Lightweight OpenClaw"""
"VoltAgent/awesome-openclaw-skills","https://github.com/VoltAgent/awesome-openclaw-skills","21059","2105","2026-02-27T03:06:45Z",,"MIT","plugins-skills","A-high","The awesome collection of OpenClaw Skills. Formerly known as Moltbot, originally Clawdbot."
"AstrBotDevs/AstrBot","https://github.com/AstrBotDevs/AstrBot","18109","1373","2026-02-27T02:57:19Z","Python","AGPL-3.0","plugins-skills","B-medium","Agentic IM Chatbot infrastructure that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨"
"iOfficeAI/AionUi","https://github.com/iOfficeAI/AionUi","17179","1306","2026-02-27T02:52:51Z","TypeScript","Apache-2.0","panel-ui","B-medium","Free, local, open-source 24/7 Cowork app and OpenClaw for Gemini CLI, Claude Code, Codex, OpenCode, Qwen Code, Goose CLI, Auggie, and more | 🌟 Star if you like it!"
"qwibitai/nanoclaw","https://github.com/qwibitai/nanoclaw","15383","2396","2026-02-27T03:06:01Z","TypeScript","MIT","security","B-medium","A lightweight alternative to Clawdbot / OpenClaw that runs in containers for security. Connects to WhatsApp, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK"
"langbot-app/LangBot","https://github.com/langbot-app/LangBot","15381","1317","2026-02-27T02:55:35Z","Python","Apache-2.0","plugins-skills","B-medium","Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台. 提供 Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ / Satori e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, MiniMax, Ollama, SiliconFlow, Moonshot, GLM, clawdbot / openclaw"
"OthmanAdi/planning-with-files","https://github.com/OthmanAdi/planning-with-files","14667","1355","2026-02-27T03:00:36Z","Python","MIT","plugins-skills","B-medium","Claude Code skill implementing Manus-style persistent markdown planning — the workflow pattern behind the $2B acquisition."
"kepano/obsidian-skills","https://github.com/kepano/obsidian-skills","11236","604","2026-02-27T03:04:30Z",,"MIT","plugins-skills","B-medium","Agent skills for Obsidian. Teach your agent to use Markdown, Bases, JSON Canvas, and use the CLI."
"NevaMind-AI/memU","https://github.com/NevaMind-AI/memU","11092","812","2026-02-27T03:06:21Z","Python","NOASSERTION","security","B-medium","Memory for 24/7 proactive agents like openclaw (moltbot, clawdbot)."
"getumbrel/umbrel","https://github.com/getumbrel/umbrel","10627","701","2026-02-27T00:24:43Z","TypeScript","NOASSERTION","deployment","B-medium","An elegant home server OS. Run OpenClaw, store your files and photos, run a Bitcoin node, and do more with over 300 apps in the Umbrel App Store."
"hesamsheikh/awesome-openclaw-usecases","https://github.com/hesamsheikh/awesome-openclaw-usecases","9877","745","2026-02-27T03:07:09Z",,"MIT","plugins-skills","A-high","A community collection of OpenClaw use cases for making life easier."
"mcp-use/mcp-use","https://github.com/mcp-use/mcp-use","9289","1146","2026-02-27T02:38:09Z","TypeScript","MIT","plugins-skills","B-medium","The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents."
"cloudflare/moltworker","https://github.com/cloudflare/moltworker","9245","1673","2026-02-27T02:58:59Z","TypeScript","Apache-2.0","deployment","B-medium","Run OpenClaw, (formerly Moltbot, formerly Clawdbot) on Cloudflare Workers"
"liyupi/ai-guide","https://github.com/liyupi/ai-guide","8073","859","2026-02-27T03:02:32Z","JavaScript","","panel-ui","B-medium","程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享大模型选择指南（DeepSeek / GPT / Gemini / Claude）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（RAG / MCP / A2A）、AI 编程教程、AI 工具用法（Cursor / Claude Code / OpenClaw / TRAE / Lovable / Agent Skills）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档版本，已升级为鱼皮 AI 导航网站"
"MemTensor/MemOS","https://github.com/MemTensor/MemOS","5913","539","2026-02-27T02:40:33Z","Python","Apache-2.0","plugins-skills","B-medium","AI memory OS for LLM and Agent systems(moltbot,clawdbot,openclaw), enabling persistent Skill memory for cross-task skill reuse and evolution."
"AlexsJones/llmfit","https://github.com/AlexsJones/llmfit","5734","329","2026-02-27T03:03:05Z","Rust","MIT","plugins-skills","B-medium","497 models. 133 providers. One command to find what runs on your hardware."
"HKUDS/ClawWork","https://github.com/HKUDS/ClawWork","5652","688","2026-02-27T02:27:29Z","Python","MIT","deployment","B-medium","""ClawWork: OpenClaw as Your AI Coworker - 💰 $10K earned in 7 Hours"""
"volcengine/OpenViking","https://github.com/volcengine/OpenViking","4048","309","2026-02-27T03:01:58Z","Python","Apache-2.0","plugins-skills","B-medium","OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving."
"BlockRunAI/ClawRouter","https://github.com/BlockRunAI/ClawRouter","3636","358","2026-02-27T02:38:27Z","TypeScript","MIT","other","B-medium","The agent-native LLM router empowering OpenClaw — by BlockRunAI"
"nearai/ironclaw","https://github.com/nearai/ironclaw","3634","391","2026-02-27T03:01:59Z","Rust","Apache-2.0","security","B-medium","IronClaw is OpenClaw inspired implementation in Rust focused on privacy and security"
"m1heng/clawdbot-feishu","https://github.com/m1heng/clawdbot-feishu","3541","392","2026-02-27T03:06:09Z","TypeScript","MIT","other","A-high",
"memovai/mimiclaw","https://github.com/memovai/mimiclaw","3442","449","2026-02-27T02:51:00Z","C","MIT","alternatives-forks","B-medium","MimiClaw: Run OpenClaw on a $5 chip. No OS(Linux). No Node.js. No Mac mini. No Raspberry Pi. No VPS.😗Local-first memory. Shareable. Portable. Privacy-first. Smarter than PicoClaw."
"mnfst/manifest","https://github.com/mnfst/manifest","3357","158","2026-02-27T02:25:13Z","TypeScript","MIT","plugins-skills","B-medium","Cut OpenClaw Costs up to 90% Keeping Your Data Safe."
"openclaw/clawhub","https://github.com/openclaw/clawhub","3020","629","2026-02-27T03:03:00Z","TypeScript","MIT","official","A-official","Skill Directory for OpenClaw"
"Tencent/AI-Infra-Guard","https://github.com/Tencent/AI-Infra-Guard","2992","297","2026-02-27T02:59:23Z","Python","NOASSERTION","security","B-medium","A.I.G (AI-Infra-Guard) is a full-stack AI Red Teaming platform developed by Tencent Zhuque Lab that secures your AI ecosystem from infrastructure to agents."
"badrisnarayanan/antigravity-claude-proxy","https://github.com/badrisnarayanan/antigravity-claude-proxy","2932","393","2026-02-27T01:36:09Z","JavaScript","MIT","other","B-medium","Proxy that exposes Antigravity provided claude / gemini models, so we can use them in Claude Code and OpenClaw (Clawdbot)"
"davepoon/buildwithclaude","https://github.com/davepoon/buildwithclaude","2497","274","2026-02-26T16:55:13Z","TypeScript","MIT","panel-ui","B-medium","A single hub to find Claude Skills, Agents, Commands, Hooks, Plugins, and Marketplace collections to extend Claude Code, Claude Desktop, Agent SDK and OpenClaw"
"RightNow-AI/openfang","https://github.com/RightNow-AI/openfang","2127","215","2026-02-27T03:07:28Z","Rust","Apache-2.0","plugins-skills","B-medium","Open-source Agent Operating System"
"justlovemaki/OpenClaw-Docker-CN-IM","https://github.com/justlovemaki/OpenClaw-Docker-CN-IM","2103","226","2026-02-27T02:50:18Z","Shell","GPL-3.0","deployment","A-high","OpenClaw 的中国IM平台整合Docker版本，预装并配置了飞书、钉钉、QQ机器人、企业微信等主流中国IM软件的插件，让您可以快速部署一个支持多个中国IM平台的 AI 机器人网关"
"miaoxworld/OpenClawInstaller","https://github.com/miaoxworld/OpenClawInstaller","2096","298","2026-02-27T03:04:57Z","Shell","","deployment","A-high","ClawdBot 一键部署工具"
"SumeLabs/clawra","https://github.com/SumeLabs/clawra","1727","295","2026-02-27T03:07:43Z","TypeScript","","other","B-medium","Clawra - Openclaw as your girlfriend"
"1186258278/OpenClawChineseTranslation","https://github.com/1186258278/OpenClawChineseTranslation","1660","201","2026-02-27T02:35:35Z","JavaScript","NOASSERTION","panel-ui","A-high","🦞 OpenClaw (Clawdbot/Moltbot) 汉化版 - 开源个人 AI 助手中文版 | Claude/ChatGPT LLM 接入 | WhatsApp/Telegram/Discord 多平台 | 每小时自动同步 | CLI + Dashboard 全中文 | 全流程搭建教程，以及排错指南！"
"ValueCell-ai/ClawX","https://github.com/ValueCell-ai/ClawX","1653","187","2026-02-27T03:01:52Z","TypeScript","MIT","panel-ui","B-medium","ClawX is a desktop app that provides a graphical interface for OpenClaw AI agents. It turns CLI-based AI orchestration into a desktop experience without using the terminal. We’ve moved from clawx.dev to claw-x.com."
"snarktank/antfarm","https://github.com/snarktank/antfarm","1650","315","2026-02-27T02:36:14Z","TypeScript","MIT","other","B-medium","Build your agent team in OpenClaw with one command."
"moltis-org/moltis","https://github.com/moltis-org/moltis","1565","155","2026-02-27T03:00:47Z","Rust","MIT","security","B-medium","A Rust-native claw you can trust. One binary — sandboxed, secure, auditable. Voice, memory, MCP tools, and multi-channel access built-in."
"openclaw/skills","https://github.com/openclaw/skills","1550","523","2026-02-27T03:03:23Z","Python","MIT","official","A-official","All versions of all skills that are on clawdhub.com archived"
"RTGS2017/NagaAgent","https://github.com/RTGS2017/NagaAgent","1409","155","2026-02-27T00:37:01Z","Python","AGPL-3.0","plugins-skills","B-medium","A simple yet powerful agent framework for personal assistants, designed to enable intelligent interaction, multi-agent collaboration, and seamless tool integration."
"ComposioHQ/secure-openclaw","https://github.com/ComposioHQ/secure-openclaw","1387","224","2026-02-27T02:18:09Z","JavaScript","MIT","security","A-high","A personal 24x7 AI assistant like OpenClaw that runs on your messaging platforms. Send a message on WhatsApp, Telegram, Signal, or iMessage and get responses from Claude with full tool access, persistent memory, scheduled reminders, and integrations with 500+ apps."
"sseanliu/VisionClaw","https://github.com/sseanliu/VisionClaw","1357","254","2026-02-27T02:41:19Z",,"NOASSERTION","other","B-medium","Real-time AI assistant for Meta Ray-Ban smart glasses -- voice + vision + agentic actions via Gemini Live and OpenClaw"
"DingTalk-Real-AI/dingtalk-openclaw-connector","https://github.com/DingTalk-Real-AI/dingtalk-openclaw-connector","1337","87","2026-02-27T02:35:02Z","TypeScript","MIT","plugins-skills","A-high","将 钉钉机器人 / 钉钉 DEAP Agent 连接到 OpenClaw Gateway 的OpenClaw Plugin，支持 AI Card 流式响应"
"clawdbot-ai/awesome-openclaw-skills-zh","https://github.com/clawdbot-ai/awesome-openclaw-skills-zh","1083","116","2026-02-27T03:06:22Z",,"","plugins-skills","A-high","OpenClaw 中文官方技能库 | 翻译自 Clawdbot 官方技能，按场景分类整理，支持中文自然语言调用"
"KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh","https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh","1041","179","2026-02-27T03:06:03Z",,"MIT","panel-ui","A-high","从零到企业实战：Claude Code 官方编程神器 + OpenClaw 224K Stars 开源AI助手 | 双顶流中文教程 | 21篇教程 130000+字"
"RightNow-AI/picolm","https://github.com/RightNow-AI/picolm","1013","110","2026-02-27T02:49:06Z","C","MIT","alternatives-forks","B-medium","Run a 1-billion parameter LLM on a $10 board with 256MB RAM"
